P10;USB FLASH DRIVE;15;EUR;100            00000100
P11;HEADPHONES;30.5;USD;150               00000200
P12;MICRO;25.75;CNY;50                    00000300
P13;TABLET;125.20;CNY;25                  00000400
P14;LAPTOP;899.99;USD;30                  00000500
P15;MOTHERBOARD;60;EUR;20                 00000600
P06;DESKTOP COMPUTER;350.55;USD;20        00000700
P07;DOCKING STATION;200;EUR;10            00000800
P18;NETWORK SWITCH;150.75;CNY;30          00000900
P19;LAPTOP GAMER;900;EUR;10               00001000
P20;SSD HARD DISK;152.50;CNY;10           00001100
P21;USB DRIVE;DO;19.99;20                 00001200
P12;KEYBOARD;11.99;EUR;200                00001300
P23;LENOVO THINKPAD X1 CARBON GEN 13;999.900001400
P24;IDEAPAD SLIM 3I GEN 9;799;USD;10      00001500
P25;THINKPAD T16 GEN 3;499.95;EUR;1O      00001600
